"Gender","trill","nice","conf","status","age","predictedOrigin","masculinity","speakerID","speaker_gender"
"female",1,5,5,0.194824341871308,4,"Cuenca",2,"F1","female"
"female",0,6,6,1.19740180848357,4,"Loja",1,"M1","male"
"female",0,6,6,0.765734801272264,5,"Cuenca",1,"F1","female"
"female",1,6,6,0.765734801272264,3,"Loja",1,"M2","male"
"female",1,4,5,1.19740180848357,3,"Loja",1,"M1","male"
"female",0,4,4,-0.807753124740956,3,"Other",3,"F2","female"
"female",1,4,5,-0.0607587692723466,3,"Other",3,"F2","female"
"female",0,4,4,0.194824341871308,4,"Quito",3,"M2","male"
"female",1,5,5,0.765734801272264,4,"Loja",2,"F1","female"
"female",0,4,4,-0.492425776483655,2,"Other",3,"M1","male"
"female",0,4,5,-0.807753124740956,4,"Cuenca",3,"F1","female"
"female",1,5,5,1.45298491962723,4,"Quito",2,"M2","male"
"female",1,4,5,0.765734801272264,2,"Loja",3,"M1","male"
"female",0,4,4,-0.455585332605649,3,"Quito",3,"F2","female"
"female",1,4,6,-0.492425776483655,3,"Quito",1,"F2","female"
"female",0,4,2,-0.807753124740956,3,"Loja",1,"M2","male"
"female",1,5,6,1.02131791241592,4,"Quito",2,"F1","female"
"female",0,5,6,1.45298491962723,3,"Quito",1,"M1","male"
"female",0,4,6,1.02131791241592,4,"Quito",5,"F1","female"
"female",1,4,1,-0.552170013597301,2,"Loja",1,"M2","male"
"female",1,6,6,1.45298491962723,3,"Loja",1,"M1","male"
"female",0,4,6,0.0187404458036547,3,"Quito",3,"F2","female"
"female",1,3,2,-1.81033059135322,3,"Quito",5,"F2","female"
"female",0,4,4,0.450407453014963,4,"Loja",3,"M2","male"
"female",1,3,3,-0.807753124740956,3,"Other",4,"F1","female"
"female",0,4,4,0.450407453014963,2,"Loja",2,"M1","male"
"female",0,3,3,-1.37866358414191,4,"Loja",5,"F1","female"
"female",1,4,4,0.194824341871308,4,"Loja",3,"M2","male"
"female",1,4,4,0.450407453014963,2,"Loja",3,"M1","male"
"female",0,3,3,-1.37866358414191,3,"Loja",5,"F2","female"
"male",1,4,3,-0.492425776483655,2,"Other",3,"F2","female"
"male",0,4,3,-0.552170013597301,4,"Cuenca",4,"M2","male"
"male",1,3,3,0.194824341871308,4,"Loja",4,"F1","female"
"male",0,4,4,-0.492425776483655,2,"Cuenca",4,"M1","male"
"male",0,3,4,0.194824341871308,4,"Cuenca",4,"F1","female"
"male",1,4,4,0.194824341871308,4,"Cuenca",4,"M2","male"
"male",1,4,4,-0.23684266534,3,"Loja",4,"M1","male"
